mapID,densidad,algoritmo,exito,pasos,tiempo
0,0.1,A*,True,20,0.0
0,0.1,Q-Learn,False,100,0.32109
1,0.1,A*,True,20,0.0
1,0.1,Q-Learn,True,20,0.3143
2,0.1,A*,True,20,0.0
2,0.1,Q-Learn,True,20,0.3052
3,0.1,A*,False,0,0.00101
3,0.1,Q-Learn,False,100,0.66584
4,0.1,A*,True,20,0.0
4,0.1,Q-Learn,True,20,0.31597
5,0.1,A*,True,20,0.0
5,0.1,Q-Learn,True,20,0.31236
6,0.1,A*,True,20,0.0
6,0.1,Q-Learn,True,24,0.31976
7,0.1,A*,True,20,0.00101
7,0.1,Q-Learn,False,100,0.30863
8,0.1,A*,True,20,0.0
8,0.1,Q-Learn,True,20,0.31815
9,0.1,A*,True,20,0.00101
9,0.1,Q-Learn,True,20,0.32148
0,0.3,A*,False,0,0.0
0,0.3,Q-Learn,False,100,0.66281
1,0.3,A*,True,20,0.0
1,0.3,Q-Learn,True,20,0.28655
2,0.3,A*,False,0,0.0
2,0.3,Q-Learn,False,100,0.64993
3,0.3,A*,False,0,0.0
3,0.3,Q-Learn,False,100,0.64642
4,0.3,A*,False,0,0.0
4,0.3,Q-Learn,False,100,0.6586
5,0.3,A*,True,20,0.0
5,0.3,Q-Learn,True,20,0.25669
6,0.3,A*,True,20,0.0
6,0.3,Q-Learn,True,20,0.29644
7,0.3,A*,False,0,0.0
7,0.3,Q-Learn,False,100,0.65861
8,0.3,A*,True,20,0.0
8,0.3,Q-Learn,True,20,0.24769
9,0.3,A*,True,20,0.0
9,0.3,Q-Learn,True,20,0.29214
0,0.5,A*,False,0,0.001
0,0.5,Q-Learn,False,100,0.65833
1,0.5,A*,False,0,0.0
1,0.5,Q-Learn,False,100,0.65339
2,0.5,A*,False,0,0.0
2,0.5,Q-Learn,False,100,0.65209
3,0.5,A*,False,0,0.0
3,0.5,Q-Learn,False,100,0.6529
4,0.5,A*,False,0,0.0
4,0.5,Q-Learn,False,100,0.64987
5,0.5,A*,False,0,0.0
5,0.5,Q-Learn,False,100,0.66007
6,0.5,A*,False,0,0.0
6,0.5,Q-Learn,False,100,0.64484
7,0.5,A*,True,20,0.0
7,0.5,Q-Learn,True,20,0.22071
8,0.5,A*,False,0,0.0
8,0.5,Q-Learn,False,100,0.64982
9,0.5,A*,False,0,0.0
9,0.5,Q-Learn,False,100,0.66491
